state,state_abb,county,county_id,dc_count,total_sqft,bws_score,bws_category,mean_lat,mean_lon,bws_label
Iowa,IA,Scott County,163,1,53983.0,0.3992891451308453,Low,41.55026944582376,-90.482409225225,Low (<10%)
Illinois,IL,Champaign County,19,1,45620.0,2.218564487444967,Medium-High,40.09525910728646,-88.24203140069088,Medium-High (20-40%)
Illinois,IL,Lake County,97,1,55001.0,3.3482588847255816,High,42.216756536018735,-87.95284650862307,High (40-80%)
Illinois,IL,Madison County,119,1,204.0,2.9296072124921135,Medium-High,38.81056014127996,-89.94870327621621,Medium-High (20-40%)
Indiana,IN,Hancock County,59,1,21005.0,2.638849862211233,Medium-High,39.71718414793671,-85.94132960161893,Medium-High (20-40%)
Indiana,IN,Lake County,89,1,116014.0,3.4221644152513377,High,41.707418451036666,-87.52019308155617,High (40-80%)
Indiana,IN,Monroe County,105,1,94298.0,2.638849862211233,Medium-High,39.17441904078126,-86.50070264503239,Medium-High (20-40%)
Iowa,IA,Johnson County,103,1,2709.0,2.6377389144041428,Medium-High,41.703998424478854,-91.58707810457734,Medium-High (20-40%)
Iowa,IA,Madison County,121,1,3691114.0,0.5759669185403649,Low,41.4982126945884,-93.78856494092211,Low (<10%)
Kansas,KS,Ellis County,51,1,11561.0,3.770761812311084,High,38.87213220021316,-99.30018745000542,High (40-80%)
Oklahoma,OK,Muskogee County,101,1,112466.0,0.0,Low,35.56813484793012,-95.51241664405325,Low (<10%)
Kentucky,KY,Floyd County,71,1,15594.0,2.8394198250057143,Medium-High,37.600176716138854,-82.67876276810777,Medium-High (20-40%)
Kentucky,KY,Hopkins County,107,1,442423.0,0.0,Low,37.362990903258414,-87.54712130515388,Low (<10%)
Kentucky,KY,McCracken County,145,1,223516.0,0.0,Low,37.08923909811934,-88.70305756107939,Low (<10%)
Louisiana,LA,East Baton Rouge Parish,33,1,0.0,0.0,Low,30.407445999999975,-91.1725454,Low (<10%)
Maryland,MD,Baltimore County,5,1,0.0,1.0327845999313867,Low-Medium,39.4273178,-76.8115503,Low-Medium (10-20%)
Maryland,MD,Frederick County,21,1,64023.0,3.967165225799908,High,39.377776311443,-77.41151850611422,High (40-80%)
Maryland,MD,Howard County,27,1,112205.0,1.0327845999313867,Low-Medium,39.13368478590359,-76.85140715035047,Low-Medium (10-20%)
Maryland,MD,Montgomery County,31,1,146301.0,1.0327845999313867,Low-Medium,39.05856287562289,-76.9643217094945,Low-Medium (10-20%)
Idaho,ID,Madison County,65,1,18269.0,1.406490445612136,Low-Medium,43.8252432321768,-111.78209278694165,Low-Medium (10-20%)
Idaho,ID,Bear Lake County,7,1,4081.0,1.3514726647586324,Low-Medium,42.317295842348535,-111.3042449169628,Low-Medium (10-20%)
Georgia,GA,Forsyth County,117,1,173693.0,2.4067750503401553,Medium-High,34.10338317620051,-84.2149739266172,Medium-High (20-40%)
Florida,FL,Polk County,105,1,22578.0,3.0231886229774765,High,28.29407690335012,-81.83484809231037,High (40-80%)
Alabama,AL,Jefferson County,73,1,665569.0,2.866950572689254,Medium-High,33.40471562419184,-86.91145719083487,Medium-High (20-40%)
Arizona,AZ,Cochise County,3,1,7539.0,5.0,Extremely High,31.972674750091073,-110.3047516999998,Extremely High (>80%)
Arizona,AZ,Pima County,19,1,14373.0,5.0,Extremely High,32.092706483207095,-110.7874236595772,Extremely High (>80%)
Arkansas,AR,Pulaski County,119,1,31845.0,0.020923112181343632,Low,34.75623579847398,-92.44472351005184,Low (<10%)
Arkansas,AR,White County,145,1,4580.0,0.7816871655915082,Low,35.2492158371357,-91.7409058590938,Low (<10%)
California,CA,Contra Costa County,13,1,0.0,1.292202410374085,Low-Medium,37.971080899999976,-122.0437382,Low-Medium (10-20%)
California,CA,Napa County,55,1,162791.0,2.1134088592129605,Medium-High,38.254085135435545,-122.2730981200017,Medium-High (20-40%)
California,CA,Riverside County,65,1,0.0,5.0,Extremely High,33.910289899999995,-117.5030207,Extremely High (>80%)
California,CA,San Luis Obispo County,79,1,0.0,2.9363123532344506,Medium-High,35.25531619999998,-120.64151280000002,Medium-High (20-40%)
California,CA,Solano County,95,1,55270.0,2.1134088592129605,Medium-High,38.24625878204932,-122.06720998673867,Medium-High (20-40%)
California,CA,Stanislaus County,99,1,6017.0,1.9942277881458945,Low-Medium,37.66514737401328,-121.04003747175076,Low-Medium (10-20%)
Colorado,CO,Adams County,1,1,86059.0,4.7538599910416925,Extremely High,39.92241855755477,-104.98324467111505,Extremely High (>80%)
Colorado,CO,Broomfield County,14,1,188160.0,4.7538599910416925,Extremely High,39.98908743748672,-105.02070322444692,Extremely High (>80%)
Connecticut,CT,Capitol Planning Region,110,1,0.0,1.2463040154913538,Low-Medium,41.7070776,-72.5898636,Low-Medium (10-20%)
Connecticut,CT,Greater Bridgeport Planning Region,120,1,134982.0,0.2774455531547891,Low,41.24084597137587,-73.14729941546844,Low (<10%)
Connecticut,CT,South Central Connecticut Planning Region,170,1,53967.0,0.2774455531547891,Low,41.47880657858901,-72.80100588134881,Low (<10%)
District of Columbia,DC,District of Columbia,1,1,0.0,0.2084564532027137,Low,38.902887900000046,-77.0291491,Low (<10%)
Maryland,MD,Prince George's County,33,1,43057.0,1.0327845999313867,Low-Medium,39.052822508078144,-76.92590821703205,Low-Medium (10-20%)
Massachusetts,MA,Essex County,9,1,51354.0,1.8996887773061608,Low-Medium,42.68570898649228,-71.20859932011268,Low-Medium (10-20%)
Michigan,MI,Genesee County,49,1,36835.0,3.8538876071716444,High,42.968713165412495,-83.77960216531768,High (40-80%)
New Mexico,NM,Doña Ana County,13,1,31837.0,4.147805686707741,Extremely High,32.30965547587507,-106.72917107190824,Extremely High (>80%)
New York,NY,Kings County,47,1,0.0,4.298718537988312,Extremely High,40.65769569999999,-74.0048163,Extremely High (>80%)
New York,NY,Onondaga County,67,1,12169.0,0.0,Low,43.01207616834648,-76.11592528923454,Low (<10%)
New York,NY,Suffolk County,103,1,36746.0,4.298718537988312,Extremely High,40.84365992460773,-72.88334530997138,Extremely High (>80%)
New York,NY,Westchester County,119,1,13426.0,0.0,Low,40.95126975040576,-73.89790099960555,Low (<10%)
North Carolina,NC,Caldwell County,27,1,3407194.0,2.9373643206378586,Medium-High,35.89473769568106,-81.54651452543965,Medium-High (20-40%)
North Carolina,NC,Cleveland County,45,1,379990.0,3.7339284936599184,High,35.25044990396285,-81.3950094307914,High (40-80%)
