pfaf_id,bws_annual_mean_raw,bws_annual_mean_score,bws_annual_max_raw,bws_annual_max_score,bws_summer_mean_raw,bws_summer_mean_score,n_arid_months,n_raw_masked_months,bwd_annual_mean_raw,bwd_annual_mean_score,iav_annual_mean_raw,iav_annual_mean_score,is_arid,bws_category,bws_annual_label,pfaf_prefix
284642,1.13895782163891,2.9817823839178934,4.652935776321916,5.0,3.4299053967392745,5.0,0,0,0.5043329630383439,2.161581164751082,0.36086698853401383,1.4434679541360553,False,Medium-High,Medium-High (20-40%),2
284643,0.09176324166948842,0.6849152195431444,0.256990414732355,2.361714550563182,0.19127077071095688,1.8444993556846956,0,0,0.0414406255007909,0.676484738767508,0.35707665718015263,1.4283066287206105,False,Low,Low (<10%),2
284644,1.6538566221319124,3.7602836749192328,5.293623596359549,5.0,4.412495394087176,5.0,0,0,0.7256840621813249,2.57813946496822,0.3806112931137504,1.5224451724550017,False,High,High (40-80%),2
284645,0.4090276903329697,2.620443164234105,0.9477539842091168,4.244512616272367,0.8298743987431897,4.029344016148865,0,0,0.15316840028884493,1.4463346873151062,0.3657898645345125,1.4631594581380503,False,Medium-High,Medium-High (20-40%),2
284646,0.6881711538571328,3.612779705984254,1.3428433686309036,4.74721913124039,0.594234383075093,3.51462659226886,0,0,0.25365702330343987,1.9732538008737908,0.33709194294789196,1.3483677717915679,False,High,High (40-80%),2
284647,0.20219125868175095,1.7314542589557778,0.4331533145167357,3.114877756924259,0.3501775807073126,2.746548125554382,0,0,0.08445266630766703,1.0833030282668368,0.40168192685981685,1.6067277074392676,False,Low-Medium,Low-Medium (10-20%),2
284648,0.23761194898962834,2.0645028730242063,0.4909777599287698,3.295657675523345,0.19172081960091555,1.8276422519777598,0,0,0.09284124082785668,1.1707194367181457,0.34875975457952246,1.3950390183180899,False,Medium-High,Medium-High (20-40%),2
284649,0.07848699244063469,0.6125023975852936,0.2071241099098032,2.0504954976568808,0.13562289579857953,1.25780830296984,0,0,0.03849237913226145,0.6293293836241178,0.46362223048843876,1.854488921953755,False,Low,Low (<10%),2
284650,0.1314618817402206,1.1147702636183043,0.3083982873171986,2.624794753301438,0.27480269562996806,2.4530844757783803,0,0,0.05461782912742478,0.7807411098319044,0.2671831204541592,1.0687324818166368,False,Low-Medium,Low-Medium (10-20%),2
284660,0.16083171873864702,1.3791731500801125,0.4372663208841785,3.128512233476226,0.32422574341101745,2.6171200390861813,0,0,0.08590784589268573,1.0923346948001205,0.4257478500709277,1.7029914002837108,False,Low-Medium,Low-Medium (10-20%),2
284670,0.04487885633778405,0.11719402353811015,0.0736238281095938,0.5582446704709091,0.05974486247829049,0.3086146643428076,0,0,0.017716741897657793,0.35433483795315696,0.2666913708818359,1.0667654835273437,False,Low,Low (<10%),2
